package,folder,source_system,source_object,target_system,target_object,load_type
STG_Load_Customer,04_staging,SQL Server Staging (raw),raw.OracleCustomerMaster,SQL Server Staging,stg.Customer,truncate_reload
STG_Load_CustomerAddress,04_staging,SQL Server Staging (raw),raw.OracleCustomerAddress,SQL Server Staging,stg.CustomerAddress,truncate_reload
STG_Load_Employee,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.Employee,truncate_reload
STG_Load_Employee,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.Salesperson,truncate_reload
STG_Load_Geography,04_staging,SQL Server Staging (raw),raw.OracleGeography,SQL Server Staging,stg.Geography,truncate_reload
STG_Load_GlJournal,04_staging,SQL Server Staging (raw),raw.OracleGlJournalLine,SQL Server Staging,stg.GlJournalLine,incremental_append
STG_Load_LoyaltyLedger,04_staging,SQL Server Staging (raw),raw.SqlLoyaltyLedger,SQL Server Staging,stg.LoyaltyLedger,incremental_append
STG_Load_Order,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.Order,incremental_append
STG_Load_Order,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.OrderLine,incremental_append
STG_Load_Order,04_staging,SQL Server Staging (raw),raw.SqlOrderLine,SQL Server Staging,stg.Order,incremental_append
STG_Load_Order,04_staging,SQL Server Staging (raw),raw.SqlOrderLine,SQL Server Staging,stg.OrderLine,incremental_append
STG_Load_PartnerSale,04_staging,SQL Server Staging (raw),raw.FilePartnerSales,SQL Server Staging,stg.PartnerSale,incremental_append
STG_Load_Payment,04_staging,SQL Server Staging (raw),raw.OracleApPayment,SQL Server Staging,stg.Payment,incremental_append
STG_Load_Product,04_staging,SQL Server Staging (raw),raw.OracleProductMaster,SQL Server Staging,stg.Product,truncate_reload
STG_Load_PromotionAndTerritory,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.Promotion,truncate_reload
STG_Load_PromotionAndTerritory,04_staging,SQL Server Staging (raw),raw.SqlOrder,SQL Server Staging,stg.SalesTerritory,truncate_reload
STG_Load_PurchaseOrder,04_staging,SQL Server Staging (raw),raw.OraclePurchaseOrderHdr,SQL Server Staging,stg.PurchaseOrder,incremental_append
STG_Load_PurchaseOrder,04_staging,SQL Server Staging (raw),raw.OraclePurchaseOrderHdr,SQL Server Staging,stg.PurchaseOrderLine,incremental_append
STG_Load_PurchaseOrder,04_staging,SQL Server Staging (raw),raw.OraclePurchaseOrderLine,SQL Server Staging,stg.PurchaseOrder,incremental_append
STG_Load_PurchaseOrder,04_staging,SQL Server Staging (raw),raw.OraclePurchaseOrderLine,SQL Server Staging,stg.PurchaseOrderLine,incremental_append
STG_Load_ReturnAndCredit,04_staging,SQL Server Staging (raw),raw.SqlCreditNote,SQL Server Staging,stg.CreditNote,incremental_append
STG_Load_ReturnAndCredit,04_staging,SQL Server Staging (raw),raw.SqlCreditNote,SQL Server Staging,stg.Return,incremental_append
STG_Load_ReturnAndCredit,04_staging,SQL Server Staging (raw),raw.SqlReturnLine,SQL Server Staging,stg.CreditNote,incremental_append
STG_Load_ReturnAndCredit,04_staging,SQL Server Staging (raw),raw.SqlReturnLine,SQL Server Staging,stg.Return,incremental_append
STG_Load_Sale,04_staging,SQL Server Staging (raw),raw.SqlInvoice,SQL Server Staging,stg.Sale,incremental_append
STG_Load_Sale,04_staging,SQL Server Staging (raw),raw.SqlInvoice,SQL Server Staging,stg.SaleLine,incremental_append
STG_Load_Sale,04_staging,SQL Server Staging (raw),raw.SqlInvoiceLine,SQL Server Staging,stg.Sale,incremental_append
STG_Load_Sale,04_staging,SQL Server Staging (raw),raw.SqlInvoiceLine,SQL Server Staging,stg.SaleLine,incremental_append
STG_Load_Shipment,04_staging,SQL Server Staging (raw),raw.SqlShipment,SQL Server Staging,stg.Shipment,incremental_append
STG_Load_Shipment,04_staging,SQL Server Staging (raw),raw.SqlShipment,SQL Server Staging,stg.ShipmentLine,incremental_append
STG_Load_Shipment,04_staging,SQL Server Staging (raw),raw.SqlShipmentLine,SQL Server Staging,stg.Shipment,incremental_append
STG_Load_Shipment,04_staging,SQL Server Staging (raw),raw.SqlShipmentLine,SQL Server Staging,stg.ShipmentLine,incremental_append
STG_Load_StockItem,04_staging,SQL Server Staging (raw),raw.SqlStockItem,SQL Server Staging,stg.StockItem,truncate_reload
STG_Load_StockMovement,04_staging,SQL Server Staging (raw),raw.SqlStockMovement,SQL Server Staging,stg.StockMovement,incremental_append
STG_Load_Supplier,04_staging,SQL Server Staging (raw),raw.OracleSupplierMaster,SQL Server Staging,stg.Supplier,truncate_reload
STG_Load_TaxAndTerms,04_staging,SQL Server Staging (raw),raw.OraclePaymentTerms,SQL Server Staging,stg.PaymentTerms,truncate_reload
STG_Load_TaxAndTerms,04_staging,SQL Server Staging (raw),raw.OraclePaymentTerms,SQL Server Staging,stg.TaxRate,truncate_reload
STG_Load_TaxAndTerms,04_staging,SQL Server Staging (raw),raw.OracleTaxRate,SQL Server Staging,stg.PaymentTerms,truncate_reload
STG_Load_TaxAndTerms,04_staging,SQL Server Staging (raw),raw.OracleTaxRate,SQL Server Staging,stg.TaxRate,truncate_reload
STG_Load_VendorContract,04_staging,SQL Server Staging (raw),raw.OracleVendorContract,SQL Server Staging,stg.VendorContract,truncate_reload
STG_Load_WebSession,04_staging,SQL Server Staging (raw),raw.SqlWebSession,SQL Server Staging,stg.WebSession,incremental_append
STG_Work_CustomerDedup,04_staging,SQL Server Staging (raw),stg.Customer,SQL Server Staging,work.CustomerAddressStandardized,work_rebuild
STG_Work_CustomerDedup,04_staging,SQL Server Staging (raw),stg.Customer,SQL Server Staging,work.CustomerDedup,work_rebuild
STG_Work_CustomerDedup,04_staging,SQL Server Staging (raw),stg.CustomerAddress,SQL Server Staging,work.CustomerAddressStandardized,work_rebuild
STG_Work_CustomerDedup,04_staging,SQL Server Staging (raw),stg.CustomerAddress,SQL Server Staging,work.CustomerDedup,work_rebuild
STG_Work_InventoryPosition,04_staging,SQL Server Staging (raw),stg.StockMovement,SQL Server Staging,work.InventoryPositionDaily,work_rebuild
STG_Work_PaymentMatch,04_staging,SQL Server Staging (raw),stg.ApInvoice,SQL Server Staging,work.PaymentMatched,work_rebuild
STG_Work_PaymentMatch,04_staging,SQL Server Staging (raw),stg.Payment,SQL Server Staging,work.PaymentMatched,work_rebuild
STG_Work_ProductCrosswalk,04_staging,SQL Server Staging (raw),stg.Product,SQL Server Staging,work.ProductCrosswalk,work_rebuild
STG_Work_ProductCrosswalk,04_staging,SQL Server Staging (raw),stg.StockItem,SQL Server Staging,work.ProductCrosswalk,work_rebuild
